Source,Target,weight
1,32,1
1,33,2
1,34,1
2,32,1
2,33,2
2,34,1
3,35,1
3,36,2
3,37,1
3,38,1
3,39,2
3,40,3
3,41,2
3,42,2
3,43,1
3,44,1
3,45,1
3,46,1
3,47,1
3,48,1
3,49,1
3,50,1
3,51,1
3,52,2
3,53,1
3,54,1
3,55,2
3,56,1
4,36,6
4,57,1
4,58,1
4,59,1
4,47,1
4,60,1
4,61,1
4,48,1
4,62,1
4,63,1
4,51,1
4,64,1
4,54,1
4,65,1
4,66,2
4,56,1
5,67,2
6,36,2
6,37,1
6,39,2
6,41,2
6,42,2
6,49,1
6,52,2
6,56,1
7,68,1
8,69,2
8,70,1
9,71,1
9,36,4
9,58,1
9,59,1
9,47,1
9,61,1
9,48,1
9,72,1
9,73,3
9,62,1
9,69,2
9,63,1
9,51,1
9,54,1
9,70,1
9,65,1
9,74,1
9,66,2
9,56,1
10,75,3
10,76,2
11,36,2
12,36,1
12,44,1
12,58,1
12,59,1
12,60,1
12,61,1
12,62,1
12,65,1
12,56,1
13,77,1
13,57,2
13,78,1
13,79,1
14,68,1
15,66,2
16,35,4
16,36,4
16,41,1
16,43,4
16,33,1
16,80,3
16,81,3
16,47,3
16,82,1
16,83,1
16,84,3
16,85,1
16,86,2
16,87,1
16,74,2
17,88,1
17,65,1
18,36,3
18,44,1
18,58,1
18,59,1
18,60,1
18,61,1
18,62,1
18,69,2
18,70,1
18,65,1
18,56,1
19,89,1
19,90,1
20,33,2
21,57,1
21,64,1
22,91,1
23,67,2
24,36,2
24,92,3
24,93,2
24,94,2
24,95,3
24,96,2
24,97,2
25,98,3
25,99,3
26,71,1
26,36,2
26,47,1
26,48,1
26,72,1
26,73,3
26,63,1
26,51,1
26,54,1
26,74,1
26,66,2
27,98,2
27,99,2
28,36,2
28,37,1
28,39,2
28,41,2
28,42,2
28,49,1
28,52,2
28,56,1
29,35,6
29,36,17
29,37,1
29,38,1
29,39,2
29,40,3
29,32,2
29,100,2
29,41,2
29,42,2
29,43,6
29,33,1
29,44,1
29,45,1
29,46,1
29,47,1
29,48,1
29,49,1
29,101,5
29,50,1
29,102,2
29,51,1
29,52,2
29,53,1
29,54,1
29,55,2
29,103,1
29,56,5
30,35,4
30,36,4
30,41,1
30,43,4
30,33,1
30,80,3
30,81,3
30,47,3
30,60,1
30,82,1
30,83,1
30,84,3
30,85,1
30,86,2
30,87,1
30,74,2
31,36,4
31,44,1
31,58,1
31,59,1
31,60,1
31,61,1
31,62,1
31,69,2
31,70,1
31,65,1
31,56,1
