Id,membership,Label,which_city
1,3,"Strahan, Andrew",London
2,0,Longman Thomas,Edinburgh
3,4,"Cruttwell, R.",Edinburgh
4,1,"Elliot, C.",Edinburgh
5,1,Murray John i,London
6,1,"Beatson, Robert, 1742-1818.",London
7,1,Gilbert William,London
8,3,"Creech, W.",London
9,0,"Wood, John, Master of the Drawing Academy, Edinburgh.",London
10,2,Dilly Charles,London
11,0,Guthrie Alexander,Edinburgh
12,2,"DAVIES, William",London
13,2,"CADELL, Thomas II",London
14,1,Kay Thomas,Edinburgh
15,1,"ROBINSON, George I",Edinburgh
16,0,"RAMSAY, David",Edinburgh
17,5,"WINGRAVE, F.",Edinburgh
18,3,Dickson James,Edinburgh
19,1,"STRAHAN, J.",Edinburgh
20,4,"CHEYNE, N.",Edinburgh
21,3,"Cadell, T. (Thomas),",Edinburgh
22,0,"HILL, P.",Edinburgh
23,2,"DUNCAN, T.",Edinburgh
24,2,Johnston Thomas,Edinburgh
25,1,"GORDON, W.",Edinburgh
26,4,"Sael, G.",London
27,4,"Kearsley, G.",Edinburgh
28,4,"SCATCHERD, James",London
29,4,"HURST, Thomas",London
30,4,"CHEYNE, N.",London
31,4,"KELLY, Thomas",London
32,1,"Cuthell, J.",London
33,1,"Johnson, J.",London
34,1,"HIGHLEY, Samuel",London
35,1,"BOAG, William I",London
36,3,"HAMILTON, Samuel",London
37,3,"RUSTED, Robert",London
38,3,"Johnson, J.",London
39,0,"Cawthorn, George",London
40,0,"Symonds, H.D.,",London
41,0,"RICHARDSON, James Mallcott",London
42,0,"WALLIS, John",London
43,0,"WRIGHT, John",London
44,0,Baldwin Robert i Fl 1746 1810,London
45,0,"Richardson, W.",London
46,0,"Lane, William",London
47,0,"Baldwin, R. (Robert), 1737-1810,",London
48,0,"LOWNDES, William",London
49,2,"FAULDER, Robert",London
50,0,"HAYES, Samuel",London
51,0,"BECKET, Thomas",London
52,0,"MUNDELL, J.",Edinburgh
53,0,Law Bedwell,London
54,2,Sampson Low,London
55,2,"BOOKER, E",London
56,3,"WATSON, James",London
57,5,Polidori Gaetano,London
58,0,Elmsly Peter,London
59,0,"MURDOCH, John",London
60,2,"BROWN, A.",Edinburgh
