Source,Target,weight
1,11,7
1,23,2
1,24,5
1,57,1
2,4,1
2,11,3
2,58,2
3,79,2
3,12,1
3,80,2
3,81,1
3,53,6
3,82,1
3,83,1
4,7,3
4,84,1
4,9,1
4,85,1
4,11,1
4,86,1
4,87,4
4,88,2
4,17,1
4,22,1
4,23,1
4,24,2
4,89,2
4,26,6
4,27,12
4,90,1
4,91,1
4,38,2
4,39,1
4,49,1
4,55,2
4,57,2
4,58,3
4,92,1
4,93,1
4,94,1
4,78,1
5,95,1
5,39,1
5,96,1
5,47,1
5,97,1
5,98,1
6,99,2
6,4,1
6,100,1
6,16,1
6,40,1
7,10,1
7,20,2
7,22,1
7,101,2
7,102,8
7,103,6
7,104,4
7,105,2
7,27,1
7,35,1
7,46,1
7,106,1
7,49,1
7,55,2
7,93,1
7,94,1
8,27,1
9,4,1
9,7,1
9,87,2
9,89,1
9,26,1
9,27,2
9,38,1
9,55,2
10,7,1
10,88,1
11,1,9
11,2,2
11,5,1
11,7,4
11,9,1
11,17,1
11,18,3
11,19,1
11,22,1
11,107,1
11,23,5
11,101,3
11,24,11
11,108,1
11,109,1
11,26,3
11,110,1
11,27,3
11,111,1
11,112,1
11,113,1
11,49,1
11,55,5
11,57,6
11,65,1
11,93,1
11,94,1
11,114,1
12,58,4
13,115,1
13,116,1
13,117,1
13,118,1
14,119,1
14,120,1
14,121,1
14,122,1
14,123,1
15,11,1
15,27,2
15,39,2
15,124,1
15,125,1
15,58,2
15,126,2
15,78,1
16,99,2
16,4,1
16,6,1
16,100,1
16,40,1
17,4,2
17,11,1
17,39,1
17,127,1
17,106,2
17,128,1
17,129,2
18,11,1
18,39,1
18,64,1
19,13,1
19,101,1
19,102,4
19,103,3
19,104,2
19,105,1
19,55,1
20,1,1
20,130,1
20,2,1
20,131,1
20,119,1
20,132,1
20,7,1
20,133,1
20,120,1
20,87,1
20,88,1
20,18,1
20,121,1
20,134,1
20,135,1
20,136,1
20,137,1
20,122,1
20,123,1
20,38,1
20,55,1
20,138,1
20,139,1
21,140,1
22,141,1
22,41,1
22,142,1
22,143,1
22,49,1
22,54,1
22,144,1
22,145,1
22,146,1
22,93,1
22,147,1
22,94,1
22,148,1
23,149,1
23,24,1
23,135,1
23,108,1
23,109,1
23,150,1
23,66,1
24,1,5
24,149,1
24,11,3
24,13,1
24,23,1
24,135,1
24,150,1
25,41,2
26,11,3
26,22,1
26,23,1
26,151,1
26,24,1
26,141,1
26,91,1
26,39,1
26,41,1
26,142,1
26,152,1
26,143,1
26,49,1
26,54,1
26,57,1
26,58,3
26,144,1
26,145,1
26,146,1
26,147,1
26,94,1
26,148,1
26,78,1
27,4,2
27,7,1
27,11,11
27,87,2
27,89,1
27,26,1
27,91,1
27,38,2
27,39,1
27,46,1
27,55,2
27,58,1
27,78,1
28,99,2
28,4,1
28,6,1
28,11,3
28,100,1
28,16,1
28,40,1
29,153,1
29,31,1
29,36,1
29,67,1
29,76,1
30,1,1
30,130,1
30,2,1
30,131,1
30,132,1
30,133,1
30,87,1
30,18,1
30,134,1
30,135,1
30,136,1
30,137,1
30,38,1
30,55,1
30,138,1
30,139,1
31,153,1
31,29,1
31,36,1
31,67,1
31,76,1
32,154,1
33,153,1
33,95,1
33,98,1
34,101,1
34,102,4
34,103,3
34,104,2
34,105,1
34,55,1
35,7,1
35,88,2
36,153,1
