actor_id,name_unified,source,Sher,Sher number,In Sher but not yet included,scottish
NV4580,"[Callin, John], merchant.",mikko_annotated,,,,
NV4815,"[Carbeth, Margaret Kincaid], Lady.",mikko_annotated,,,,
107045019,"[Collins, Samuel, -1793],",wikidata,,,,
NV11389,"[Forrest, David], of Gimmersmill.",mikko_annotated,,,,
NV11524,"[Fraser, Alexander, of Torbreck].",mikko_annotated,,,,
NV12795,"[Gibb, Andrew], of Dalkeith.",mikko_annotated,,,,
NV13218,"[Goodwin, Alexander].",mikko_annotated,,,,
NV13230,"[Goodwin, Katharine].",mikko_annotated,,,,
NV15174,"[Heron, Patrick, approximately 1735-1803].",mikko_annotated,,,,
NV15227,"[Hetherington, Richard], tenant in Bowhill.",mikko_annotated,,,,
NV15597,"[Home, Alexander].",mikko_annotated,,,,
NV18378,"[Lauder, Charles], writer in Edinburgh.",mikko_annotated,,,,
317273353,"[Lees, John, 1740-1807]",wikidata,,,,
NV19712,"[M'Kie, John, merchant in Stranrawer].",mikko_annotated,,,,
NV19838,"[MacDowall, William], of Castlesemple, Esq.",mikko_annotated,,,,
NV19982,"[MacNeil, Neil], of Rothesay.",mikko_annotated,,,,
NV_BH_X07945947X,"[Maul, Alexander].",mikko_annotated,,,,
NV21805,"[Murdoch, John], merchant in Glasgow.",mikko_annotated,,,,
NV23525,"[Omey, Samuel].",mikko_annotated,,,,
NV28654,"[Sinclair, John], of Mey, Sir, -1774.",mikko_annotated,,,,
57493453,"[Skirving, Adam, 1719-1803.]",wikidata,,,,
NV30199,"[Stewart, Daniel], grocer in Edinburgh.",mikko_annotated,,,,
NV32898,"[Watt, William], farmer at Tynefield.",mikko_annotated,,,,
58029632,"Abell, John, 1653?-approximately 1716.",wikidata,,,,
22002668,"Abercorn, James Hamilton, Earl of, 1712-1789.",mikko_annotated,,,,
6346179,"Abercrombie, Alexander, 1675-1753.",mikko_annotated,,,,
62678578,"Abercrombie, John, 1726-1806.",wikidata,,,,
51539896,"Abercromby, Alexander Abercromby, Lord, 1745-1795.",wikidata,,,,
54480855,"Abercromby, David, -1701 or 1702.",wikidata,,,,
16181635,"Abercromby, Patrick, 1656-1716?.",wikidata,,,,
5736544,"Abercromby, Ralph, Sir, 1734-1801.",wikidata,,,,
39807099,"Aberdeen, George Gordon, Earl of, 1722-1801.",mikko_annotated,,,,
237379786,"Abernethy-Drummond, William, 1719?-1809.",mikko_annotated,,,,
72805274,"Adair, James Makittrick, 1728-1802.",wikidata,,,,
